order_date,order_count,subtotal,tax_amount,shipping_cost,discount_amount,total_revenue
2024-01-01,1,195520.36,9776.02,3844.74,9776.02,199365.10
2024-01-03,1,214.97,10.75,1.72,0.00,227.44
2024-01-03,1,14453.63,1734.44,142.64,0.00,16330.71
2024-01-03,1,1154.76,138.57,41.61,0.00,1334.94
2024-01-03,1,817.94,147.23,44.20,0.00,1009.37
2024-01-03,1,3460.08,173.00,124.03,103.80,3653.31
2024-01-04,1,9319.61,1677.53,16.04,0.00,11013.18
2024-01-04,1,42748.52,2137.43,23.87,0.00,44909.82
2024-01-05,1,7371.49,368.57,173.21,0.00,7913.27
2024-01-05,1,168967.35,30414.12,365.58,0.00,199747.05
2024-01-06,1,517980.69,93236.52,1110.91,15539.42,596788.70
2024-01-06,1,750.02,135.00,4.55,37.50,852.07
2024-01-07,1,1683.34,303.00,42.13,0.00,2028.47
2024-01-08,1,2749.64,329.96,14.95,82.49,3012.06
2024-01-09,1,537798.59,26889.93,277.94,16133.96,548832.50
2024-01-10,1,937203.48,112464.42,1301.01,28116.10,1022852.81
2024-01-11,1,4142.87,207.14,20.93,207.14,4163.80
2024-01-11,1,2313.22,277.59,35.66,69.40,2557.07
2024-01-13,1,682.83,81.94,62.81,34.14,793.44
2024-01-13,1,3682.10,441.85,26.64,0.00,4150.59
2024-01-13,1,192.91,9.65,17.95,0.00,220.51
2024-01-14,1,731.04,131.59,35.03,0.00,897.66
2024-01-14,1,934859.15,112183.10,68.13,0.00,1047110.38
2024-01-14,1,449695.05,80945.11,783.28,0.00,531423.44
2024-01-14,1,6651.05,332.55,29.20,332.55,6680.25
2024-01-15,1,8761.91,1051.43,23.85,438.10,9399.09
2024-01-15,1,1156654.75,208197.85,3986.82,0.00,1368839.42
2024-01-15,1,10739.69,536.98,17.13,536.98,10756.82
2024-01-16,1,8678.81,433.94,48.40,0.00,9161.15
2024-01-17,1,424054.70,76329.85,1288.30,12721.64,488951.21
2024-01-18,1,13903.17,695.16,166.52,0.00,14764.85
2024-01-18,1,5022.90,904.12,108.72,0.00,6035.74
2024-01-18,1,6903.02,345.15,13.42,207.09,7054.50
2024-01-18,1,3690.95,442.91,3.21,0.00,4137.07
2024-01-18,1,452347.92,81422.63,2526.05,22617.40,513679.20
2024-01-19,1,7091.62,850.99,40.98,0.00,7983.59
